StateName,Population,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TotalSales,GDP_2022,GDP_2023,PerCapitaGDP_2022,PerCapitaGDP_2023
Ohio,19432059,60857100,77821200,86682900,105081100,133618900,159245800,190210900,220355500,254396600,290904200,324673800,341744100,81931100,2327523200,822670,852903,69978,72550
Oklahoma,2684116,10867900,15181200,19995400,23262900,26029000,29096100,33155300,38141700,44105900,51938600,55559100,59332600,14551800,421217500,240534,243350,59894,60385
Oregon,5011462,79373500,91351000,89395700,86633400,102776100,131493400,155031000,176522000,204345100,238235700,263906300,277666000,69694700,1966423900,299125,316593,70548,74492
Pennsylvania,13222597,81867600,99650400,124386900,147372000,179036200,197248300,208634400,224460800,244814600,282402700,311088600,327144900,76473400,2504580800,923089,961946,71160,74109
Rhode Island,2929009,5831000,5577800,6348600,8620200,13297600,17280400,25966700,36552400,45886900,66359200,83680800,85800700,22474100,423676400,71402,74094,65362,67358
South Carolina,2122033,25225000,29743300,31627000,35483700,39851300,53604700,65115400,80273500,102861200,117137000,129261100,136505900,31748600,878437700,295880,308927,56066,58398
South Dakota,92664,0,0,0,0,0,1619900,1980800,2039100,2156100,2193800,2335200,2531700,658400,15515000,67571,70316,74268,77033
Tennessee,6030213,66890200,82051400,87693000,89531400,91177900,107995000,120722200,133863300,148875600,173090200,197044700,210607400,51052000,1560594300,475755,502664,67473,71198
Texas,10466267,123947700,153015500,157849200,171865000,211122500,263382400,319065200,399510000,457071100,511588100,557521000,580319200,134571800,4040828700,2355960,2436346,78456,81130
Utah,3483041,59911300,70315000,69890800,64341400,72167200,89589700,107939500,121194600,138948500,166868900,198991700,214897900,48369000,1423425500,248176,259291,73424,76487
Virginia,6101310,138222200,163382500,188738200,203131600,214285400,238916100,259346400,289201500,319078700,344659700,369722600,387119500,93097500,3208901900,649393,676734,74789,77875
Washington,11052416,138164000,165993200,191402800,199575100,220259900,260109800,294409000,346471700,393712700,447607600,504627900,533814400,108735600,3804883700,725514,761415,93193,97805
West Virginia,2320416,5327700,5682000,5211600,4841100,4815000,6171100,8267400,16673300,19619600,23318900,25194600,26514700,6297000,157934000,95588,96012,53852,53939
Wisconsin,4159499,22399800,27381200,36653700,45037400,59280600,74440200,96025700,129277700,153467500,175691600,194446900,203877400,49081600,1267061300,401792,417301,68192,70728
Wyoming,37819,0,1572200,2168300,2120300,2420500,2399800,2614800,2771200,2602900,4459200,5194900,5396500,901800,34622400,47433,47420,81586,81564
